"id_che300","id_autohome","match_type_ah","is_only_ah"
"1031",9002,1,1
"1032",9035,1,1
"1033",8871,1,1
"1034",NA,NA,NA
"1035",NA,NA,NA
"1036",NA,NA,NA
"1037",NA,NA,NA
"1038",3160,1,1
"1042",NA,NA,NA
"1043",NA,NA,NA
"1045",NA,NA,NA
"1046",2307,1,1
"1047",1566,1,1
"1048",1777,2,1
"1049",1777,2,0
"1050",1778,1,1
"1052",1779,1,1
"1053",NA,NA,NA
"1054",NA,NA,NA
"1055",804,1,1
"1056",NA,NA,NA
"1058",NA,NA,NA
"1059",NA,NA,NA
"1060",NA,NA,NA
"1061",NA,NA,NA
"1062",10082,1,1
"1063",5044,1,1
"1064",5045,1,1
"1065",5046,1,1
"1066",5047,1,1
"1067",2954,1,1
"1068",2956,1,1
"1069",2957,1,1
"1070",2955,1,1
"1071",2958,1,1
"1072",6218,1,1
"1073",6219,1,1
"1074",6220,1,1
"1075",NA,NA,NA
"1076",NA,NA,NA
"1077",2011,1,1
"1078",1484,1,1
"1079",1439,1,1
"1080",NA,NA,NA
"1081",NA,NA,NA
"1082",NA,NA,NA
"1083",NA,NA,NA
"1084",NA,NA,NA
"1085",1194,1,1
"1086",3976,1,1
"1087",3977,1,1
"1089",3312,1,1
"1090",3313,1,1
"1092",2586,1,1
"1093",2587,1,1
"1094",NA,NA,NA
"1095",1481,2,0
"1098",NA,NA,NA
"1100",NA,NA,NA
"1101",NA,NA,NA
"1103",NA,NA,NA
"1104",NA,NA,NA
"1108",NA,NA,NA
"1109",NA,NA,NA
"1112",NA,NA,NA
"1113",NA,NA,NA
"1115",NA,NA,NA
"1116",NA,NA,NA
"1117",NA,NA,NA
"1118",NA,NA,NA
"1119",NA,NA,NA
"1120",NA,NA,NA
"1121",NA,NA,NA
"1122",1938,1,1
"1123",1326,1,1
"1124",NA,NA,NA
"1125",1939,1,1
"1126",15895,1,1
"1127",15896,1,1
"1128",12465,1,1
"1129",6155,1,1
"1130",6156,1,1
"1131",3815,1,1
"1132",3823,1,1
"1133",NA,NA,NA
"1136",17170,1,1
"1137",17284,1,1
"1138",17287,1,1
"1139",17171,1,1
"1140",17172,1,1
"1141",17173,1,1
"1142",17174,1,1
"1143",17176,1,1
"1144",17175,1,1
"1145",17177,1,1
"1146",14678,1,1
"1147",16872,1,1
"1148",13393,1,1
"1149",16043,1,1
"1150",14830,1,1
"1151",13370,1,1
"1152",13369,1,1
"1153",13116,1,1
"1154",14462,1,1
"1155",13368,1,1
"1156",12473,1,1
"1157",11781,1,1
"1158",11345,1,1
"1159",11348,1,1
"1160",11339,1,1
"1161",11349,1,1
"1162",11350,1,1
"1163",11351,1,1
"1164",8879,1,1
"1165",8880,1,1
"1166",8881,1,1
"1167",8882,1,1
"1168",8883,1,1
"1169",8884,1,1
"1170",5869,1,1
"1171",5870,1,1
"1172",5871,1,1
"1173",5872,1,1
"1174",8113,2,1
"1175",5873,1,1
"1176",5874,1,1
"1177",5875,1,1
"1178",5485,1,1
"1179",4713,1,1
"1180",4883,1,1
"1181",4714,1,1
"1182",4882,1,1
"1183",4715,1,1
"1184",5788,1,1
"1185",5389,1,1
"1186",3994,1,1
"1187",NA,NA,NA
"1189",NA,NA,NA
"1190",3200,1,1
"1191",NA,NA,NA
"1193",NA,NA,NA
"1194",3193,1,1
"1195",NA,NA,NA
"1196",1858,1,1
"1197",821,1,1
"1198",NA,NA,NA
"1199",NA,NA,NA
"1200",17072,1,1
"1201",17078,1,1
"1202",17080,1,1
"1203",17079,1,1
"1204",17081,1,1
"1205",17082,1,1
"1206",17083,1,1
"1207",17085,1,1
"1208",17086,1,1
"1209",17063,1,1
"1210",17090,1,1
"1211",13692,1,1
"1212",13693,1,1
"1213",13694,1,1
"1214",16322,1,1
"1215",13695,1,1
"1216",13696,1,1
"1217",13697,1,1
"1218",13698,1,1
"1219",16320,1,1
"1220",13699,1,1
"1221",11222,1,1
"1222",11223,1,1
"1223",11224,1,1
"1224",11225,1,1
"1225",11226,1,1
"1226",11227,1,1
"1227",11228,1,1
"1228",11229,1,1
"1229",9202,1,1
"1230",8765,1,1
"1231",8229,1,1
"1232",8775,1,1
"1233",7424,1,1
"1234",8776,1,1
"1235",7436,1,1
"1236",8236,1,1
"1237",5836,1,1
"1238",5837,1,1
"1239",5838,1,1
"1240",5839,1,1
"1241",5840,1,1
"1242",5841,1,1
"1243",5842,1,1
"1244",5843,1,1
"1245",5844,1,1
"1246",5534,1,1
"1247",NA,NA,NA
"1248",4982,1,1
"1249",4983,1,1
"1250",4987,1,1
"1251",4989,1,1
"1252",4990,1,1
"1253",4992,1,1
"1254",4993,1,1
"1255",4142,1,1
"1256",3727,1,1
"1257",3729,1,1
"1258",3728,1,1
"1259",2843,1,1
"1260",NA,NA,NA
"1261",NA,NA,NA
"1262",NA,NA,NA
"1263",NA,NA,NA
"1264",2613,2,1
"1267",NA,NA,NA
"1268",2614,1,1
"1269",NA,NA,NA
"1270",2022,1,1
"1271",2592,1,1
"1272",1657,1,1
"1273",1658,1,1
"1274",1659,1,1
"1275",NA,NA,NA
"1276",978,1,1
"1277",979,1,1
"1278",NA,NA,NA
"1279",NA,NA,NA
"1280",NA,NA,NA
"1281",14327,1,1
"1282",14328,1,1
"1283",14329,1,1
"1284",14245,1,1
"1285",14330,1,1
"1286",14246,1,1
"1287",16777,1,1
"1288",14331,1,1
"1289",12193,1,1
